ID,Url,Price,Name,Manufacturer,Image,Image_Url,Compatibility,Cooling_Potential,Fan_RPM,Noise_Level,Dimensions
77,https://www.jimms.fi/fi/Product/Show/190327/sst-ar09-1700/silverstone-ar09-1700-prosessorijaahdytin-2u,49.9,Ar09-1700,SilverStone,COOLER_429217-ig800gg.jpg,https://ic.jimms.fi/product/1/2/429217-ig800gg.jpg,Intel lga1700,,1200 ~ 5000 rpm,"18,02 ~ 42,5 dba",88 x 66 x 88 mm
78,https://www.jimms.fi/fi/Product/Show/184985/bk033/be-quiet-pure-rock-2-fx-prosessorijaahdytin,54.9,Pure rock 2 fx,be quiet!,COOLER_401936-ig800gg.jpg,https://ic.jimms.fi/product/3/3/401936-ig800gg.jpg,1700 / 1200 / 2066 / 1150 / 1151 / 1155 / 2011(-3) square ilm; kiinnityssarjat: intel & amd,150w,Light wings 120mm pwm high-speed,"7,9 / 16,6 / 24,4 db(a)",87 x 121 x 155 mm
79,https://www.jimms.fi/fi/Product/Show/197318/nh-d9l-chromax-black/noctua-nh-d9l-chromax-black-prosessorijaahdytin,77.9,Nh-d9l chromax.black,Noctua,COOLER_469027-ig800gg.jpg,https://ic.jimms.fi/product/2/2/469027-ig800gg.jpg,"Intel lga1851, lga1700, lga1200, lga1156, lga1155, lga1151, lga1150; amd am5, am4",Katso nspr,Maksimi kierrosnopeus (+/- 10 %): 2000 rpm / 1550 rpm,"22,8 db(a) / 16,3 db(a)",
80,https://www.jimms.fi/fi/Product/Show/185013/umbra-ex180-black-edition/kolink-umbra-ex180-black-edition-prosessorijaahdytin,29.9,Umbra ex180 black edition,Kolink,COOLER_402096-ig800gg.jpg,https://ic.jimms.fi/product/9/3/402096-ig800gg.jpg,,180 w,800 ~ 1800 rpm (pwm) +/- 10 %,"28,6 db(a)",130 x 75 x 157 mm
81,https://www.jimms.fi/fi/Product/Show/130710/sst-nt06-pro-v2/silverstone-nt06-pro-v2-nitrogon-120mm-pwm-prosessorijaahdytin,76,Nt06-pro-v2 nitrogon 120mm pwm,SilverStone,COOLER_167085-ig800gg.jpg,https://ic.jimms.fi/product/8/4/167085-ig800gg.jpg,Fm2/fm1/am3/am2,,"120×120×20mm, 1000-2200rpm(pwm)",,140×82×139mm (ilman tuuletinta)
82,https://www.jimms.fi/fi/Product/Show/185987/ey3a006/endorfy-fera-5-dual-fan-prosessorijaahdytin,39.9,Fera 5 dual fan,Endorfy,COOLER_407324-ig800gg.jpg,https://ic.jimms.fi/product/2/5/407324-ig800gg.jpg,"Lga1700, lga1200, lga1150, lga1151, lga1155, lga1156, lga775, lga2066, lga2011-3, lga2011 (square ilm), lga1366; amd: am5, am4, am3(+), am2(+), fm2(+), fm1",220 w,250 (+/- 100) - 1800 (+/- 10 %) rpm,,155 x 127 x 102 mm
83,https://www.jimms.fi/fi/Product/Show/176798/cnps10x-performa-black/zalman-cnps10x-performa-black-prosessorijaahdytin,44.9,Cnps10x performa black,Zalman,COOLER_358826-ig800gg.jpg,https://ic.jimms.fi/product/2/3/358826-ig800gg.jpg,Lga 2066/2011-v3/2011/1200/115x; amd: am4,180 w,700 ~ 1500 rpm +/- 10 %,"27,0 db(a) +/- 10 %",135 x 95 x 155 mm
84,https://www.jimms.fi/fi/Product/Show/192053/rr-s4ww-20pa-r1/cooler-master-hyper-212-halo-white-prosessorijaahdytin,59.9,Hyper 212 halo white,Cooler Master,COOLER_439554-ig800gg.jpg,https://ic.jimms.fi/product/5/5/439554-ig800gg.jpg,"Lga1700, lga1200, lga1151, lga1150, lga1155, lga1156; amd: am5, am4",180 w,650 - 2050 rpm +/- 10 %,27 dba (max),124 x 73 x 154 mm
85,https://www.jimms.fi/fi/Product/Show/187318/ak-cc6602hp01/akasa-intel-lga1700-low-profile-copper-core-cooler,24.9,Intel lga1700 low profile copper core cooler,Akasa,COOLER_414582-ig800gg.jpg,https://ic.jimms.fi/product/8/7/414582-ig800gg.jpg,Intel® lga1700,73w tdp,600-3000 rpm (pwm controlled),28.71 db(a),87.2 x 85.2 x 29.92 mm (w x d x h)
86,https://www.jimms.fi/fi/Product/Show/149304/cr-m9pa/cryorig-m9-plus-prosessorijaahdytin,29.9,M9 plus,Cryorig,COOLER_232884-ig800gg.jpg,https://ic.jimms.fi/product/8/5/232884-ig800gg.jpg,"1150, 1151, 1155, 1156, 1200; amd: fm1, fm2/+, am2/+, am3/+, am4",130w,600 ~ 2200 rpm +/- 10%,"26,4 dba","98,4 x 102 x 124,6 mm"
