ID,Url,Price,Name,Manufacturer,Image,Image_Url,Cores,Core_Clock,Memory,Interface,Dimensions,TDP
150,https://www.jimms.fi/fi/Product/Show/186229/tuf-rtx4080-16g-gaming/asus-geforce-rtx-4080-tuf-gaming-naytonohjain-16gb-gddr6x,1439.9,Geforce rtx 4080 tuf gaming,Asus,GPU_408869-ig800gg.jpg,https://ic.jimms.fi/product/6/0/408869-ig800gg.jpg,9728,2535 mhz (boost clock),16gb gddr6x,Pcie 4.0,"348,2 x 150 x 72,6 mm / 3,65 slot",750w
151,https://www.jimms.fi/fi/Product/Show/186470/100-506159/amd-radeon-pro-w6600-naytonohjain-8gb-gddr6,436.9,Radeon pro w6600,AMD,GPU_410100-ig800gg.jpg,https://ic.jimms.fi/product/0/9/410100-ig800gg.jpg,1792,,8gb gddr6,Pcie 4.0 x8,241 mm,
152,https://www.jimms.fi/fi/Product/Show/186289/vcnrtxa2000-12gb-pb/pny-nvidia-rtx-a2000-naytonohjain-12gb-gddr6,723.9,Nvidia rtx a2000,PNY,GPU_409110-ig800gg.jpg,https://ic.jimms.fi/product/1/9/409110-ig800gg.jpg,3328,,12 gb,Pci express 4.0 x16,,70 watt
153,https://www.jimms.fi/fi/Product/Show/187264/gv-n4080gaming-oc-16gd/gigabyte-geforce-rtx-4080-gaming-oc-naytonohjain-16gb-gddr6x,1489.9,Geforce rtx 4080 gaming oc,Gigabyte,GPU_414377-ig800gg.jpg,https://ic.jimms.fi/product/7/2/414377-ig800gg.jpg,9728,2535 mhz (core clock),16gb gddr6x,Pci-e 4.0,342 x 150 x 75 mm,850w
154,https://www.jimms.fi/fi/Product/Show/195470/gv-n4060oc-8gl/gigabyte-geforce-rtx-4060-oc-low-profile-naytonohjain-8gb-gddr6,394.9,Geforce rtx 4060 oc low profile,Gigabyte,GPU_458220-ig800gg.jpg,https://ic.jimms.fi/product/2/9/458220-ig800gg.jpg,3072,2475 mhz (core clock),8gb gddr6,Pci-e 4.0,182 x 69 x 40 mm,450w
155,https://www.jimms.fi/fi/Product/Show/191848/47nom7md7kwk/kfa2-geforce-rtx-4070-ex-gamer-white-naytonohjain-12gb-gddr6x,699.9,Geforce rtx 4070 ex gamer white,KFA2,GPU_438521-ig800gg.jpg,https://ic.jimms.fi/product/2/8/438521-ig800gg.jpg,5888,2535 mhz,12gb gddr6x,Pci-e 4.0,336 x 146 x 48 mm (bracketin kanssa) / 323 x 131 x 48 mm (ilman brackettia),600 w
156,https://www.jimms.fi/fi/Product/Show/195080/rx7700xt-12gb-l-oc/powercolor-radeon-rx-7700-xt-hellhound-naytonohjain-12gb-gddr6,549.9,Radeon rx 7700 xt hellhound,PowerColor,GPU_459387-ig800gg.jpg,https://ic.jimms.fi/product/8/2/459387-ig800gg.jpg,3456,2599 mhz (oc) / 2584 mhz (silent),12gb gddr6,Pcie 4.0,322 x 134 x 50 mm / 332 x 147 x 50 mm (bracketin kanssa) / 2.5 slot,750w
157,https://www.jimms.fi/fi/Product/Show/196081/rx7600-sl-8go/asrock-radeon-rx-7600-steel-legend-oc-naytonohjain-8gb-gddr6,368.9,Radeon rx 7600 steel legend oc,ASRock,GPU_461382-ig800gg.jpg,https://ic.jimms.fi/product/8/7/461382-ig800gg.jpg,2048,2725 mhz,8gb gddr6,Pci express 4.0,303 x 131 x 45 mm / 2.25 slot,600w
158,https://www.jimms.fi/fi/Product/Show/193272/dual-rtx4060ti-o8g-white/asus-geforce-rtx-4060-ti-dual-white-oc-edition-naytonohjain-8gb-gddr6,499.9,Geforce rtx 4060 ti dual white - oc edition,Asus,GPU_445182-ig800gg.jpg,https://ic.jimms.fi/product/8/7/445182-ig800gg.jpg,4352,2565 mhz (boost),8gb gddr6,Pci express 4.0,"227,2 x 123,24 x 49,6 mm / 2.5 slot",650w
159,https://www.jimms.fi/fi/Product/Show/185130/gv-n4090gaming-oc-24gd/gigabyte-geforce-rtx-4090-gaming-oc-naytonohjain-24gb-gddr6x,2099.9,Geforce rtx 4090 gaming oc,Gigabyte,GPU_404771-ig800gg.jpg,https://ic.jimms.fi/product/7/8/404771-ig800gg.jpg,16384,2535 mhz,24gb gddr6x,Pci-e 4.0,"340 x 150,2 x 75,2 mm",1000w
160,https://www.jimms.fi/fi/Product/Show/42965/d2g-a2d-if/matrox-matrox-dualhead2go-digitaalinen-adapteri-1xhd15-2xdvi-i,299.9,Matrox dualhead2go digitaalinen adapteri 1xhd15 > 2xdvi-i,Matrox,GPU_33918-ig800gg.jpg,https://ic.jimms.fi/product/1/1/33918-ig800gg.jpg,,,,,113x140x28 mm.,
161,https://www.jimms.fi/fi/Product/Show/187729/tuf-rtx4070ti-12g-gaming/asus-geforce-rtx-4070-ti-tuf-gaming-naytonohjain-12gb-gddr6x,969.9,Geforce rtx 4070 ti tuf gaming,Asus,GPU_422031-ig800gg.jpg,https://ic.jimms.fi/product/3/8/422031-ig800gg.jpg,7680,2610 mhz (boost clock),12gb gddr6x,Pcie 4.0,305 x 138 x 65 mm / 3.25 slot,750w
162,https://www.jimms.fi/fi/Product/Show/174622/vcnrtxa5000-pb/pny-rtx-a5000-naytonohjain-24gb-gddr6-4x-dp,3027.9,Rtx a5000,PNY,GPU_384970-ig800gg.jpg,https://ic.jimms.fi/product/7/9/384970-ig800gg.jpg,8192,,24 gb,Pci express 4.0 x16,"26,67 cm",230 w
163,https://www.jimms.fi/fi/Product/Show/181766/vcnrtxa4500-pb/pny-rtx-a4500-naytonohjain-20gb-gddr6-4x-dp,2049.9,Rtx a4500,PNY,GPU_384990-ig800gg.jpg,https://ic.jimms.fi/product/9/9/384990-ig800gg.jpg,7168,,20 gb,Pci express 4.0 x16,"26,67 cm",200 w
164,https://www.jimms.fi/fi/Product/Show/194332/rtx-4060-ti-gaming-x-slim-16g/msi-geforce-rtx-4060-ti-gaming-x-slim-naytonohjain-16gb-gddr6,589.9,Geforce rtx 4060 ti gaming x slim,MSI,GPU_451336-ig800gg.jpg,https://ic.jimms.fi/product/3/3/451336-ig800gg.jpg,4352,2670 mhz,16gb gddr6,Pci express gen 4 x 8,307 x 125 x 46 mm,550 w
165,https://www.jimms.fi/fi/Product/Show/195670/11330-02-20g/sapphire-radeon-rx-7800-xt-pulse-naytonohjain-16gb-gddr6,623.9,Radeon rx 7800 xt pulse,Sapphire,GPU_459206-ig800gg.jpg,https://ic.jimms.fi/product/0/3/459206-ig800gg.jpg,3840,2430 mhz,16gb gddr6,Pci-express 4.0 x16,"280 x 128,75 x 52,57 mm / 2.5 slot",700 W
166,https://www.jimms.fi/fi/Product/Show/195787/rtx4080-16gb-gamingx-slimwhite/msi-geforce-rtx-4080-gaming-x-slim-white-naytonohjain-16gb-gddr6x,1449.9,Geforce rtx 4080 gaming x slim white,MSI,GPU_459780-ig800gg.jpg,https://ic.jimms.fi/product/8/9/459780-ig800gg.jpg,9728,2595 mhz (gaming & silent mode),16gb gddr6x,Pci express gen 4,322 x 136 x 62 mm,850w (minimi 750w)
167,https://www.jimms.fi/fi/Product/Show/197094/rx7800xt-16g-l-oc-white/powercolor-radeon-rx-7800-xt-hellhound-spectral-white-naytonohjain-16gb-gddr6,639.9,Radeon rx 7800 xt hellhound spectral white,PowerColor,GPU_467684-ig800gg.jpg,https://ic.jimms.fi/product/8/5/467684-ig800gg.jpg,3840,2520 mhz (oc) / 2430 mhz (silent),16gb gddr6,Pcie 4.0,322 x 134 x 50 mm / 332 x 147 x 50 mm (bracketin kanssa) / 2.5 slot,750w
168,https://www.jimms.fi/fi/Product/Show/191401/gv-n4070aours-m-12gd/gigabyte-geforce-rtx-4070-aorus-master-naytonohjain-12gb-gddr6x,847.9,Geforce rtx 4070 aorus master,Gigabyte,GPU_438167-ig800gg.jpg,https://ic.jimms.fi/product/6/2/438167-ig800gg.jpg,5888,2595 mhz,12gb gddr6x,Pcie 4.0,342 x 154 x 71 mm / 3.5 slot,700w
169,https://www.jimms.fi/fi/Product/Show/137159/gt1030-2g-brk/asus-geforce-gt-1030-naytonohjain-2gb-gddr5,95.9,Geforce gt 1030,Asus,GPU_185892-ig800gg.jpg,https://ic.jimms.fi/product/9/7/185892-ig800gg.jpg,384,Oc mode (base / boost): 1266 mhz / 1506 mhz,2gb gddr5,Pci express x16 3.0,"16,9 x 6,9 x 2,1 cm",
170,https://www.jimms.fi/fi/Product/Show/192677/dual-rtx4070-o12g-white/asus-geforce-rtx-4070-dual-white-oc-edition-naytonohjain-12gb-gddr6x,709.9,Geforce rtx 4070 dual white - oc edition,Asus,GPU_442805-ig800gg.jpg,https://ic.jimms.fi/product/0/4/442805-ig800gg.jpg,5888,2550 mhz (boost clock),12gb gddr6x,Pcie 4.0,269 x 135 x 52 mm / 2.55 slot,650w
171,https://www.jimms.fi/fi/Product/Show/188089/rx7900xtx-tc-24go/asrock-radeon-rx-7900-xtx-taichi-oc-naytonohjain-24gb-gddr6,1139.9,Radeon rx 7900 xtx taichi oc,ASRock,GPU_418723-ig800gg.jpg,https://ic.jimms.fi/product/2/6/418723-ig800gg.jpg,6144,2680 mhz,24gb gddr6,Pci express 4.0 x16,345 x 140 x 61 mm / 3-slot,1000 w
172,https://www.jimms.fi/fi/Product/Show/193467/gv-n407twf3oc-12gd/gigabyte-geforce-rtx-4070-ti-windforce-oc-naytonohjain-12gb-gddr6x,929.9,Geforce rtx 4070 ti windforce oc,Gigabyte,GPU_446303-ig800gg.jpg,https://ic.jimms.fi/product/0/6/446303-ig800gg.jpg,7680,2625 mhz,12gb gddr6x,Pci-e 4.0,261 x 126 x 50 mm,750w
