ID,Url,Price,Name,Manufacturer,Image,Image_Url,Capacity,Form_Factor,Interface,Cache,Flash,TBW
13,https://www.jimms.fi/fi/Product/Show/155160/sedc450r-1920g/kingston-1-92tb-data-center-dc450r-enterprise-2-5-ssd-levy-sata-iii-3d-tlc-560-530-mb-s,154.9,1.92tb data center dc450r enterprise,Kingston,STORAGE_258084-ig800gg.jpg,https://ic.jimms.fi/product/8/5/258084-ig800gg.jpg,1.92tb,"2.5""",Sata rev. 3.0 (6gb/s) - taaksepäin yhteensopiva sata rev. 2.0 (3gb/s),,3d tlc,1301tb
14,https://www.jimms.fi/fi/Product/Show/192948/sedc600m-7680g/kingston-7-68tb-dc600m-mixed-use-2-5-sata-enterprise-ssd-sata-iii-560-530-mb-s,650.9,"7.68tb dc600m (mixed-use) 2.5"" sata enterprise ssd",Kingston,STORAGE_443479-ig800gg.jpg,https://ic.jimms.fi/product/7/0/443479-ig800gg.jpg,7680 gb,"2.5""",Sata rev. 3.0 (6 gt/s) - takautuvasti yhteensopiva sata rev. 2.0 (3 gt/s) kanssa,,3d tlc,"14016 tbw, 1 dwpd (5 vuotta), 1,66 dwpd (3 vuotta)"
15,https://www.jimms.fi/fi/Product/Show/196355/wds200t3x0g/western-digital-2tb-wd_black-sn770m-nvme-ssd-levy-m-2-2230-pcie-gen4-x4-5150-4850-mb-s,239.9,2tb wd_black sn770m nvme,Western Digital,STORAGE_463315-ig800gg.jpg,https://ic.jimms.fi/product/1/4/463315-ig800gg.jpg,1tb,M.2 2230,M.2,,,1200 tbw
16,https://www.jimms.fi/fi/Product/Show/185965/hat5300-16t/synology-16tb-hat5300-16t-sisainen-3-5-kiintolevy-sata-iii-7200-rpm-512mb,819,16tb hat5300-16t,Synology,STORAGE_407095-ig800gg.jpg,https://ic.jimms.fi/product/9/4/407095-ig800gg.jpg,16 tb,"3.5""",Sata 6 gb/s,512 mib,,
17,https://www.jimms.fi/fi/Product/Show/179719/wds960g2g0c/western-digital-960gb-wd-green-sn350-nvme-ssd-levy-m-2-2280-pcie-3-0-x4-2400-1900-mb-s,82.9,960gb wd green sn350 nvme ssd -levy,Western Digital,STORAGE_373559-ig800gg.jpg,https://ic.jimms.fi/product/5/0/373559-ig800gg.jpg,960 gb,M.2 2280,Pci express 3.0 x4 (nvme),,Triple-level cell (tlc),80 tb
18,https://www.jimms.fi/fi/Product/Show/171838/ts480gjdm820/transcend-480gb-jetdrive-820-ssd-paivityssarja-macille-sis-ssd,201.9,480gb jetdrive 820,Transcend,STORAGE_333522-ig800gg.jpg,https://ic.jimms.fi/product/2/7/333522-ig800gg.jpg,480gb,M.2,Ahci pcie gen3 x4,,3d nand flash,
19,https://www.jimms.fi/fi/Product/Show/160824/wds400t2b0a/western-digital-4tb-wd-blue-3d-ssd-levy-2-5-sata-iii-560-530-mb-s,319.9,4tb wd blue 3d ssd -levy,Western Digital,STORAGE_277383-ig800gg.jpg,https://ic.jimms.fi/product/8/6/277383-ig800gg.jpg,4tb,"2.5"" / 7mm",Sata iii 6gb/s,,,600 tbw
20,https://www.jimms.fi/fi/Product/Show/155328/ssdsckkb960g801/intel-960gb-ssd-d3-s4510-series-m-2-2280-sata-iii-3d-tlc-555-510-mb-s,265,960gb ssd d3-s4510 series,Intel,STORAGE_258663-ig800gg.jpg,https://ic.jimms.fi/product/6/6/258663-ig800gg.jpg,960 gb,M.2 22 x 80mm,Sata 3.0 6gb/s,,3d nand tlc,1.3 pbw
21,https://www.jimms.fi/fi/Product/Show/153068/wd20spzx/western-digital-2tb-blue-mobile-2-5-sisainen-kiintolevy-sata-iii-5400-rpm-128mb,83.9,2tb blue mobile,Western Digital,STORAGE_249630-ig800gg.jpg,https://ic.jimms.fi/product/3/9/249630-ig800gg.jpg,2 tb,"2.5""",Sata 6gb/s,128 mb,,
22,https://www.jimms.fi/fi/Product/Show/184501/snv2s-1000g/kingston-1tb-nv2-pcie-4-0-nvme-ssd-levy-m-2-2280-3500-2100-mb-s,64.9,1tb nv2 pcie 4.0 nvme,Kingston,STORAGE_399468-ig800gg.jpg,https://ic.jimms.fi/product/6/1/399468-ig800gg.jpg,1tb,M.2,,,,320 tt
23,https://www.jimms.fi/fi/Product/Show/161991/lrc10z500gg8/kioxia-500gb-exceria-nvme-ssd-levy-m-2-2280-pcie-1700-1600-mb-s,37.9,500gb exceria nvme,KIOXIA,STORAGE_283162-ig800gg.jpg,https://ic.jimms.fi/product/6/7/283162-ig800gg.jpg,500gb,M.2 type 2280-s2-m,Pci express® base specification revision 3.1a (pcie®),,Bics flash™ tlc,Tbw (total bytes written): 200 tb
24,https://www.jimms.fi/fi/Product/Show/158240/st6000vx001/seagate-6tb-skyhawk-surveillance-3-5-sisainen-kiintolevy-sata-iii-256mb,163.9,6tb skyhawk surveillance,Seagate,STORAGE_270984-ig800gg.jpg,https://ic.jimms.fi/product/8/5/270984-ig800gg.jpg,6 tb,"3.5""",Sata 6gb/s,256 mb,,
25,https://www.jimms.fi/fi/Product/Show/148629/mz-v7s500bw/samsung-500gb-970-evo-plus-ssd-levy-m-2-2280-pcie-3-0-x4-nvme-3500-3200-mb-s,66.9,500gb 970 evo plus,Samsung,STORAGE_229973-ig800gg.jpg,https://ic.jimms.fi/product/7/6/229973-ig800gg.jpg,500gb,M.2 (2280),"Pcie gen 3.0 x4, nvme 1.3",Samsung 512mb low power ddr4 sdram,Samsung v-nand 3-bit mlc,
26,https://www.jimms.fi/fi/Product/Show/194793/ts4tmte250s/transcend-4tb-250s-nvme-ssd-levy-m-2-2280-pcie-gen4-x4-7500-6700-mb-s,389.9,4tb 250s nvme,Transcend,STORAGE_454356-ig800gg.jpg,https://ic.jimms.fi/product/5/3/454356-ig800gg.jpg,4 tb,2280 (double-sided),Nvme pcie gen4 x4,S.m.a.r.t.; adavanced garbage collection; raid engine; ldpc coding; dram cache,3d nand flash,3120 tbw
27,https://www.jimms.fi/fi/Product/Show/179707/wd20ezbx/western-digital-2tb-wd-blue-sisainen-3-5-kiintolevy-sata-iii-7200-rpm-256mb,82.9,2tb wd blue,Western Digital,STORAGE_373536-ig800gg.jpg,https://ic.jimms.fi/product/3/3/373536-ig800gg.jpg,2 tb,"3.5""",Sata 6gb/s,256 mt,,
28,https://www.jimms.fi/fi/Product/Show/192485/ct4000t700ssd5/crucial-4tb-t700-pcie-gen5-nvme-ssd-with-heatsink-m-2-2280-12-800-11-800-mb-s,810.9,4tb t700 pcie gen5 nvme ssd with heatsink,Crucial,STORAGE_441880-ig800gg.jpg,https://ic.jimms.fi/product/8/9/441880-ig800gg.jpg,4tb,M.2 (2280),"Pcie gen 5.0 x4, nvme 2.0",,,2400 tb
29,https://www.jimms.fi/fi/Product/Show/176872/mz-v8p2t0cw/samsung-2tb-980-pro-with-heatsink-ssd-levy-m-2-2280-pcie-4-0-nvme-7000-5100-mb-s,197.9,2tb 980 pro with heatsink,Samsung,STORAGE_359297-ig800gg.jpg,https://ic.jimms.fi/product/9/2/359297-ig800gg.jpg,2tb,M.2,Pcie 4.0,Samsung 2gb low power ddr4 sdram,,"1500 g & 0,5 ms (half sine)"
