ID,Url,Price,Name,Manufacturer,Image,Image_Url,Type,Amount,Speed,Latency
1401,https://www.jimms.fi/fi/Product/Show/167381/cmk32gx4m2g4000c19/corsair-32gb-2-x-16gb-vengeance-lpx-ddr4-4000mhz-cl19-1-35v-musta,122.9,32gb (2 x 16gb) vengeance lpx,Corsair,RAM_310859-ig800gg.jpg,https://ic.jimms.fi/product/5/0/310859-ig800gg.jpg,Ddr4 dimm 288-pin,32gb (2 x 16gb),4000 mhz (pc4-32000),19-23-23-45
1402,https://www.jimms.fi/fi/Product/Show/179673/f5-5200j3636c16gx2-tz5rk/g-skill-32gb-2-x-16gb-trident-z5-rgb-ddr5-5200mhz-cl36-1-20v-musta,156.9,32gb (2 x 16gb) trident z5 rgb,G.Skill,RAM_373365-ig800gg.jpg,https://ic.jimms.fi/product/6/4/373365-ig800gg.jpg,Ddr5,32gb (2 x 16gb),5200mhz,36-36-36-83
1403,https://www.jimms.fi/fi/Product/Show/186214/f5-6000j3040g32gx2-tz5rk/g-skill-64gb-2-x-32gb-trident-z5-rgb-ddr5-6000mhz-cl30-1-40v-musta,286.9,64gb (2 x 32gb) trident z5 rgb,G.Skill,RAM_408752-ig800gg.jpg,https://ic.jimms.fi/product/5/7/408752-ig800gg.jpg,Ddr5,64gb (2 x 32gb),6000 mt/s,30-40-40-96
1404,https://www.jimms.fi/fi/Product/Show/186080/cmt64gx5m2b5600z40k/corsair-64gb-2-x-32gb-dominator-platinum-rgb-ddr5-5600mhz-cl40-1-25v-harmaa-musta,277.9,64gb (2 x 32gb) dominator platinum rgb,Corsair,RAM_407932-ig800gg.jpg,https://ic.jimms.fi/product/3/7/407932-ig800gg.jpg,Ddr5,64gb (2 x 32gb),Ddr5-5600,40-40-40-77
1405,https://www.jimms.fi/fi/Product/Show/80543/cmz16gx3m2a1600c9/corsair-16gb-2-x-8gb-vengeance-ddr3-1600mhz-cl9-1-5v,97.9,16gb (2 x 8gb) vengeance,Corsair,RAM_79049-ig800gg.jpg,https://ic.jimms.fi/product/4/0/79049-ig800gg.jpg,Ddr3,,,16gb (2x8gb) ddr3 for amd and intel dual channel processors.: 1600mhz.: 9-9-9-24 latency.: vengeance heat spreader for styling and performance.: intel xmp 1.3 (extreme memory profile) support.: limited lifetime warranty.
1406,https://www.jimms.fi/fi/Product/Show/154801/cmw16gx4m2z3200c16/corsair-16gb-2-x-8gb-vengeance-rgb-pro-ddr4-3200mhz-cl16-1-35v-musta,74.9,16gb (2 x 8gb) vengeance rgb pro,Corsair,RAM_256231-ig800gg.jpg,https://ic.jimms.fi/product/3/8/256231-ig800gg.jpg,288-pin ddr4 dimm,16gb (2 x 8gb),3200 mhz,16-18-18-36
1407,https://www.jimms.fi/fi/Product/Show/160084/cmk32gx4m4b3200c16/corsair-32gb-4-x-8gb-vengeance-lpx-ddr4-3200mhz-cl16-1-35v-musta,105.9,32gb (4 x 8gb) vengeance lpx,Corsair,RAM_274057-ig800gg.jpg,https://ic.jimms.fi/product/5/2/274057-ig800gg.jpg,Ddr4 dimm 288-pin,32gb (4 x 8gb),3200 mhz (pc4-25600),16-18-18-36
1408,https://www.jimms.fi/fi/Product/Show/193095/cmh64gx5m2b6000c30/corsair-64gb-2-x-32gb-vengeance-rgb-ddr5-6000mhz-cl30-1-40v-musta-harmaa,299.9,64gb (2 x 32gb) vengeance rgb,Corsair,RAM_443985-ig800gg.jpg,https://ic.jimms.fi/product/8/4/443985-ig800gg.jpg,Ddr5,64gb (2 x 32gb),Ddr5-6000,30-36-36-76
1409,https://www.jimms.fi/fi/Product/Show/190917/kth-pl548e-16g/kingston-16gb-1-x-16gb-ddr5-4800mhz-ecc-cl40-1-10v-hp-compaq,79.9,16gb (1 x 16gb) ddr5 4800mhz,Kingston,RAM_433566-ig800gg.jpg,https://ic.jimms.fi/product/6/3/433566-ig800gg.jpg,Ddr5 dimm 288 pin,16gb (1 x 16gb),4800 mt/s,Cl40
1410,https://www.jimms.fi/fi/Product/Show/191066/kf560c32rwak2-32/kingston-32gb-2-x-16gb-fury-renegade-white-rgb-ddr5-6000mhz-cl32-1-35v-valkoinen-hopea,176.9,32gb (2 x 16gb) fury renegade white rgb,Kingston,RAM_433014-ig800gg.jpg,https://ic.jimms.fi/product/1/5/433014-ig800gg.jpg,Ddr5,32gb (2 x 16gb),6000 mt/s,Cl32 (32-38-38)
1411,https://www.jimms.fi/fi/Product/Show/190302/cmk96gx5m2b5600c40/corsair-96gb-2-x-48gb-vengeance-ddr5-5600mhz-cl40-1-25v-musta-harmaa,352.9,96gb (2 x 48gb) vengeance,Corsair,RAM_429100-ig800gg.jpg,https://ic.jimms.fi/product/0/9/429100-ig800gg.jpg,Ddr5,96gb (2 x 48gb),Ddr5-5600,40-40-40-77
1412,https://www.jimms.fi/fi/Product/Show/197131/kcp548ud8-32/kingston-32gb-1-x-32gb-ddr5-4800mhz-cl40-1-10v,128.9,32gb (1 x 32gb) ddr5 4800mhz,Kingston,RAM_467920-ig800gg.jpg,https://ic.jimms.fi/product/2/9/467920-ig800gg.jpg,Ddr5 sdram,32 gb,4800 mhz (pc5-38400),
