ID,Url,Price,Name,Manufacturer,Image,Image_Url,Core_Count,Thread_Count,Base_Clock,Cache,Socket,Cpu_Cooler,TDP,Integrated_GPU
39,https://www.jimms.fi/fi/Product/Show/191494/bx807132465x/intel-xeon-w5-2465x-lga4677-3-10ghz-33-75mb-boxed,1890.9,Xeon w5-2465x,Intel,CPU_436527-ig800gg.jpg,https://ic.jimms.fi/product/2/2/436527-ig800gg.jpg,"16 (16 p-core, 0 e-core)",32,3.10 ghz (base),33.75 mb intel smart cache,Lga4677,,200 w,
40,https://www.jimms.fi/fi/Product/Show/154700/bx806956248/intel-xeon-gold-6248-lga3647-2-50-ghz-27-5-mb-boxed,4300.9,Xeon gold 6248,Intel,CPU_255947-ig800gg.jpg,https://ic.jimms.fi/product/4/2/255947-ig800gg.jpg,20,40,2.50 ghz,27.5 mb,Lga3647,,150w,
41,https://www.jimms.fi/fi/Product/Show/195761/bx8071514900kf/intel-core-i9-14900kf-lga1700-3-20-ghz-36mb-boxed,669.9,Core i9-14900kf,Intel,CPU_464824-ig800gg.jpg,https://ic.jimms.fi/product/2/5/464824-ig800gg.jpg,24 (8p + 16e),32,"3.2 ghz (base, p-core) / 2.4 ghz (base, e-core)",36 mb,Lga1700,,125w,
42,https://www.jimms.fi/fi/Product/Show/187651/bx8071513100/intel-core-i3-13100-lga1700-3-40-ghz-12mb-boxed,168.9,Core i3-13100,Intel,CPU_420907-ig800gg.jpg,https://ic.jimms.fi/product/0/2/420907-ig800gg.jpg,4 (4p + 0e),8,"3.40 ghz (base, p-core) / n/a ghz (base, e-core)",12 mb,Lga1700,Intel laminar rh1 cooler,60w,Intel® uhd graphics 730
43,https://www.jimms.fi/fi/Product/Show/183347/100-100000446wof/amd-ryzen-threadripper-pro-5965wx-swrx8-3-8ghz-141-5mb-24-core,2649.9,Ryzen threadripper pro 5965wx,AMD,CPU_393663-ig800gg.jpg,https://ic.jimms.fi/product/6/6/393663-ig800gg.jpg,24,48,3.8 ghz,L1: 1.5 mb,Swrx8,,280w,
44,https://www.jimms.fi/fi/Product/Show/180895/100-100000926wof/amd-ryzen-7-5700x-am4-3-4-ghz-8-core-boxed,209.9,Ryzen 7 5700x,AMD,CPU_380808-ig800gg.jpg,https://ic.jimms.fi/product/0/1/380808-ig800gg.jpg,8,16,3.4 ghz,32mb,Am4,,65w,
45,https://www.jimms.fi/fi/Product/Show/187645/bx8071513900f/intel-core-i9-13900f-lga1700-2-00-ghz-36mb-boxed,646.9,Core i9-13900f,Intel,CPU_420882-ig800gg.jpg,https://ic.jimms.fi/product/8/7/420882-ig800gg.jpg,24 (8p + 16e),32,"2.00 ghz (base, p-core) / 1.50 ghz (base, e-core)",36 mb,Lga1700,Intel laminar rh1 cooler,65w,No
46,https://www.jimms.fi/fi/Product/Show/181565/100-000000504/amd-epyc-7773x-sp3-2-20-ghz-64-core-tray,9363.9,Epyc 7773x,AMD,CPU_383946-ig800gg.jpg,https://ic.jimms.fi/product/4/3/383946-ig800gg.jpg,64,128,2.2 ghz,768 mb,Sp3,,280 w,
47,https://www.jimms.fi/fi/Product/Show/154703/bx806956230/intel-xeon-gold-6230-lga3647-2-10-ghz-27-5-mb-boxed,2701.9,Xeon gold 6230,Intel,CPU_255950-ig800gg.jpg,https://ic.jimms.fi/product/5/9/255950-ig800gg.jpg,20,40,2.10 ghz,27.5 mb,Lga3647,,125w,
48,https://www.jimms.fi/fi/Product/Show/191498/bx807132495x/intel-xeon-w7-2495x-lga4677-2-50ghz-45mb-boxed,2622.9,Xeon w7-2495x,Intel,CPU_436531-ig800gg.jpg,https://ic.jimms.fi/product/3/8/436531-ig800gg.jpg,"24 (24 p-core, 0 e-core)",48,2.50 ghz (base),45 mb intel smart cache,Lga4677,,225 w,
49,https://www.jimms.fi/fi/Product/Show/173336/100-100000263box/amd-ryzen-7-5700g-am4-3-8-ghz-8-core-boxed,209.9,Ryzen 7 5700g,AMD,CPU_346350-ig800gg.jpg,https://ic.jimms.fi/product/5/9/346350-ig800gg.jpg,8,16,3.8 ghz,L2 cache: 4mb,Am4,Wraith stealth,65w,Radeon vega 8 -sarja
50,https://www.jimms.fi/fi/Product/Show/154710/bx806956234/intel-xeon-gold-6234-lga3647-3-30-ghz-24-75-mb-boxed,3441.9,Xeon gold 6234,Intel,CPU_255957-ig800gg.jpg,https://ic.jimms.fi/product/5/2/255957-ig800gg.jpg,8,16,3.30 ghz,24.75 mb,Lga3647,,130w,
51,https://www.jimms.fi/fi/Product/Show/123432/bx80660e52683v4/intel-xeon-e5-2683-v4-lga2011-3-2-1ghz-40mb-boxed,2202.9,Xeon e5-2683 v4,Intel,CPU_146326-ig800gg.jpg,https://ic.jimms.fi/product/2/3/146326-ig800gg.jpg,16,32,2.10 ghz,40 mb,Lga2011-3,,120 w,
